Datum;Uhrzeit;NO3;NO2;Temperatur;SECCI;Salinität;NOx
18.06.1993;;5.048214285714285;0.3688163265306123;14.046989795918366;;32;
19.06.1993;;4.930357142857143;0.3629387755102041;14.108744897959182;;32;
20.06.1993;;4.812500000000001;0.357061224489796;14.1705;;32;
21.06.1993;;4.694642857142857;0.3511836734693878;14.232255102040815;;32;
22.06.1993;;4.576785714285714;0.3453061224489795;14.294010204081632;;32;
23.06.1993;;4.4589285714285705;0.3394285714285714;14.35576530612245;;32;
24.06.1993;;4.3410714285714285;0.3335510204081633;14.417520408163265;;32;
25.06.1993;;4.223214285714286;0.3276734693877551;14.47927551020408;;32;
26.06.1993;;4.105357142857143;0.3217959183673469;14.541030612244898;;32;
27.06.1993;;3.9875000000000003;0.3159183673469388;14.602785714285712;;32;
28.06.1993;;3.8696428571428574;0.3100408163265307;14.664540816326529;;32;
29.06.1993;;3.7517857142857145;0.3041632653061225;14.726295918367349;;32;
30.06.1993;;3.633928571428571;0.2982857142857144;14.788051020408162;;32;
01.07.1993;;3.5160714285714283;0.2924081632653061;14.84978761904762;;32;
02.07.1993;;3.398214285714286;0.2865306122448979;14.911505714285711;;32;
03.07.1993;;3.280357142857143;0.2807217632653061;14.973205306122448;;32;
04.07.1993;;3.1625;0.2749816163265306;15.03488639455782;;32;
05.07.1993;;3.044642857142857;0.2693101714285714;15.096548979591836;;32;
06.07.1993;;2.928940571428572;0.2637074285714286;15.15819306122449;;32;
07.07.1993;;2.815393142857143;0.258173387755102;15.21981863945578;;32;
08.07.1993;;2.7040005714285713;0.2527080489795918;15.281425714285714;;32;
09.07.1993;;2.594762857142857;0.2473114122448979;15.343014285714284;;32;
10.07.1993;;2.4876800000000006;0.2419834775510204;15.404584353741498;;32;
11.07.1993;;2.382752;0.2367242448979591;15.466135918367346;;32;
12.07.1993;;2.2799788571428574;0.2315337142857143;15.527668979591835;;32;
13.07.1993;;2.1793605714285715;0.2264118857142857;15.589183537414966;;32;
14.07.1993;;2.080897142857143;0.2213587591836735;15.650679591836733;;32;
15.07.1993;;1.9845885714285714;0.2163743346938775;15.712157142857142;;32;
16.07.1993;;1.8904348571428573;0.211458612244898;15.773616190476188;;32;
17.07.1993;;1.7984360000000004;0.2066115918367347;15.835056734693875;;32;
18.07.1993;;1.708592;0.2018332734693878;15.896478775510204;;32;
19.07.1993;;1.6209028571428574;0.1971236571428571;15.957882312925168;;32;
20.07.1993;;1.5353685714285712;0.1924827428571429;16.019267346938776;;32;
21.07.1993;;1.4519891428571428;0.1879105306122449;16.080633877551023;;32;
22.07.1993;;1.3707645714285714;0.1834070204081633;16.141981904761902;;32;
23.07.1993;;1.2916948571428573;0.1789722122448979;16.203311428571425;;32;
24.07.1993;;1.2147799999999997;0.174606106122449;16.26462244897959;;32;
25.07.1993;;1.14002;0.1703087020408163;16.325914965986392;;32;
26.07.1993;;1.0652599999999999;0.16608;16.378443424036277;;32;
27.07.1993;;0.9905000000000002;0.16192;16.422207823129252;;32;
28.07.1993;;0.9157400000000001;0.1593130666666667;16.457208163265307;;32;
29.07.1993;;0.84098;0.1582592;16.486679166666665;;32;
30.07.1993;;0.7662200000000001;0.1587584;16.510620833333334;;32;
31.07.1993;;0.6972980000000001;0.159184;16.529051666666664;;32;
01.08.1993;;0.634214;0.159536;16.541971666666665;;32;
02.08.1993;;0.5769679999999999;0.1598144;16.55502388888889;;32;
03.08.1993;;0.5282725;0.1600192;16.56820833333333;;32;
04.08.1993;;0.48812750000000005;0.1601770666666666;16.581525;;32;
05.08.1993;;0.456533;0.160288;16.5979725;;32;
06.08.1993;;0.43348900000000007;0.160352;16.617550833333333;;32;
07.08.1993;;0.4165163333333334;0.1589824;16.640259999999998;;32;
08.08.1993;;0.40561500000000006;0.1561792;16.6661;;32;
09.08.1993;;0.40078500000000006;0.1519424;16.691127777777776;;32;
10.08.1993;;0.3920805;0.146272;16.71534333333333;;32;
11.08.1993;;0.3795015;0.1429013333333333;16.738746666666664;;32;
12.08.1993;;0.36304800000000004;0.1418304;16.758106428571427;;32;
13.08.1993;;0.34272;0.1430592;16.77342261904762;;32;
14.08.1993;;0.3244966666666667;0.1442029714285714;16.78469523809524;;32;
15.08.1993;;0.30837800000000004;0.1452617142857143;16.791924285714288;;32;
16.08.1993;;0.294364;0.1462354285714285;16.79510976190476;;32;
17.08.1993;;0.28408800000000006;0.1471241142857142;16.794251666666668;;32;
18.08.1993;;0.27754999999999996;0.1479277714285714;16.78935;;32;
19.08.1993;;0.27474999999999994;0.1486464;16.780404761904762;;32;
20.08.1993;;0.26985;0.14928;16.76741595238095;;32;
21.08.1993;;0.26285;0.1498285714285714;16.75038357142857;;32;
22.08.1993;;0.25375;0.1487390476190476;16.729307619047617;;32;
23.08.1993;;0.23983749999999998;0.1460114285714285;16.704188095238095;;32;
24.08.1993;;0.2211125;0.1416457142857143;16.675024999999998;;32;
25.08.1993;;0.197575;0.1372685714285714;16.65056388888889;;32;
26.08.1993;;0.169225;0.13288;16.630804761904763;;32;
27.08.1993;;0.13854166666666667;0.12848;16.61574761904762;;32;
28.08.1993;;0.105525;0.1240685714285714;16.602157738095237;;32;
29.08.1993;;0.07017499999999999;0.1196190476190476;16.59003511904762;;32;
30.08.1993;;0.0424375;0.1151314285714285;16.57937976190476;;32;
31.08.1993;;0.0223125;0.1106057142857142;16.570191666666666;;32;
01.09.1993;;0.009800000000000001;0.1074285714285714;16.556827777777777;;32;
02.09.1993;;0.004900000000000001;0.1056;16.539288095238096;;32;
03.09.1993;;0.0016333333333333336;0.1051199999999999;16.51757261904762;;32;
04.09.1993;;0.0;0.1059885714285714;16.488682738095235;;32;
05.09.1993;;0.0;0.1044723809523809;16.452618452380953;;32;
06.09.1993;;0.0;0.1005714285714285;16.40937976190476;;32;
07.09.1993;;0.0;0.0942857142857142;16.358966666666667;;32;
08.09.1993;;0.0;0.088;16.305322222222223;;32;
09.09.1993;;0.0;0.0817142857142857;16.2642625;;32;
10.09.1993;;0.0;0.0754285714285714;16.2357875;;32;
11.09.1993;;0.0;0.0693942857142857;16.223128571428568;;32;
12.09.1993;;0.0;0.0636114285714285;16.226285714285716;;32;
13.09.1993;;0.0;0.05808;16.20197976190476;;32;
14.09.1993;;0.0;0.0528;16.150210714285713;;32;
15.09.1993;;0.0;0.0477714285714285;16.07097857142857;;32;
16.09.1993;;0.0;0.0429942857142857;15.993041666666665;;32;
17.09.1993;;0.0;0.0384685714285714;15.9164;;32;
18.09.1993;;0.0;0.0376342857142857;15.841053571428573;;32;
19.09.1993;;0.0;0.0404914285714285;15.767002380952382;;32;
20.09.1993;;0.0;0.04704;15.674649206349208;;32;
21.09.1993;;0.0;0.05728;15.563994047619047;;32;
22.09.1993;;0.0;0.0681980952380952;15.435036904761905;;32;
23.09.1993;;0.0;0.0797942857142857;15.304541666666667;;32;
24.09.1993;;0.0;0.0920685714285714;15.172508333333337;;32;
25.09.1993;;0.004316666666666667;0.1050742857142857;15.038936904761904;;32;
26.09.1993;;0.012949999999999998;0.1188114285714285;14.90382738095238;;32;
27.09.1993;;0.025899999999999996;0.13328;14.786776984126984;;32;
28.09.1993;;0.03814999999999999;0.14848;14.687785714285717;;32;
29.09.1993;;0.049699999999999994;0.1589180952380952;14.606853571428571;;32;
30.09.1993;;0.06054999999999999;0.1645942857142857;14.522258333333331;;32;
01.10.1993;;0.0707;0.1655085714285714;14.434;;32;
02.10.1993;;0.08178333333333332;0.1677942857142857;14.342078571428573;;32;
03.10.1993;;0.09379999999999998;0.1714514285714286;14.246494047619048;;32;
04.10.1993;;0.10675;0.17648;14.149135317460315;;32;
